elapsed_s,eval_count,violations,objectives_covered,efficiency
3219.9840610027313,900.0,2.0,1.0,0.0022222222222222222
3224.026901245117,900.0,7.0,1.0,0.0077777777777777776
3762.1852831840515,900.0,7.0,3.0,0.0077777777777777776
3503.5431950092316,900.0,9.0,3.0,0.01
4346.241241455078,900.0,4.0,3.0,0.0044444444444444444
3008.374457836151,900.0,15.0,3.0,0.016666666666666666
3209.226953983307,900.0,5.0,3.0,0.005555555555555556
2902.9637355804443,900.0,6.0,3.0,0.006666666666666667
3092.3427653312683,900.0,6.0,3.0,0.006666666666666667
2856.828050136566,900.0,14.0,3.0,0.015555555555555555
2942.270649433136,900.0,4.0,3.0,0.0044444444444444444
2672.549079179764,900.0,4.0,3.0,0.0044444444444444444
2663.0335700511932,900.0,1.0,1.0,0.0011111111111111111
2775.006906270981,900.0,11.0,3.0,0.012222222222222223
3096.192618370056,900.0,11.0,3.0,0.012222222222222223
3292.2266216278076,900.0,11.0,3.0,0.012222222222222223
2678.7872400283813,900.0,15.0,3.0,0.016666666666666666
2775.6574051380157,900.0,8.0,3.0,0.008888888888888889
2562.4357793331146,900.0,6.0,2.0,0.006666666666666667
2996.005883693695,900.0,3.0,3.0,0.0033333333333333335
2672.8106577396393,900.0,14.0,3.0,0.015555555555555555
2714.7011592388153,900.0,4.0,2.0,0.0044444444444444444
3170.4335367679596,900.0,8.0,3.0,0.008888888888888889
2973.589962244034,900.0,2.0,1.0,0.0022222222222222222
2949.990694284439,900.0,3.0,3.0,0.0033333333333333335
2971.841516494751,900.0,6.0,3.0,0.006666666666666667
2855.719461917877,900.0,2.0,2.0,0.0022222222222222222
2629.1891605854034,900.0,9.0,3.0,0.01
2834.5014884471893,900.0,3.0,3.0,0.0033333333333333335
2999.676480770111,900.0,5.0,3.0,0.005555555555555556
