elapsed_s,eval_count,violations,objectives_covered,efficiency
6443.086723804474,900.0,26.0,4.0,0.028888888888888888
5675.35626912117,900.0,42.0,3.0,0.04666666666666667
6366.918627977371,900.0,49.0,3.0,0.05444444444444444
5818.509115695953,900.0,42.0,3.0,0.04666666666666667
10104.061426877975,816.0,18.0,4.0,0.022058823529411766
4980.548805475235,900.0,45.0,3.0,0.05
8544.035194158554,805.0,49.0,4.0,0.06086956521739131
4903.68603014946,900.0,39.0,3.0,0.043333333333333335
4828.168604135513,900.0,47.0,3.0,0.052222222222222225
4937.435252904892,900.0,43.0,3.0,0.04777777777777778
5337.676869869232,900.0,47.0,4.0,0.052222222222222225
5238.0112471580505,900.0,41.0,3.0,0.04555555555555556
5888.533991575241,900.0,34.0,4.0,0.03777777777777778
4933.242206335068,900.0,47.0,3.0,0.052222222222222225
4983.901219844818,900.0,54.0,3.0,0.06
4805.097583770752,900.0,36.0,3.0,0.04
4893.804945707321,900.0,33.0,3.0,0.03666666666666667
4950.598260402679,900.0,52.0,3.0,0.057777777777777775
4771.813368558884,900.0,55.0,3.0,0.06111111111111111
4699.632442712784,900.0,70.0,3.0,0.07777777777777778
5298.553407669067,900.0,42.0,4.0,0.04666666666666667
4476.487070798874,900.0,44.0,3.0,0.04888888888888889
8885.961796045303,783.0,44.0,4.0,0.0561941251596424
4319.811182498932,900.0,45.0,3.0,0.05
4998.092253923416,900.0,66.0,4.0,0.07333333333333333
4728.104624509811,900.0,47.0,3.0,0.052222222222222225
5219.394158363342,900.0,65.0,4.0,0.07222222222222222
4858.0189526081085,900.0,39.0,3.0,0.043333333333333335
5065.676986217499,900.0,65.0,4.0,0.07222222222222222
4523.342549085617,900.0,51.0,3.0,0.056666666666666664
