elapsed_s,eval_count,violations,objectives_covered,efficiency
8263.427872896194,900.0,34.0,3.0,0.03777777777777778
9005.454894542694,900.0,26.0,3.0,0.028888888888888888
10894.858074903488,900.0,40.0,4.0,0.044444444444444446
7954.2864809036255,900.0,38.0,3.0,0.042222222222222223
7255.011581659317,900.0,62.0,3.0,0.06888888888888889
6800.201925039291,900.0,33.0,3.0,0.03666666666666667
6988.5142986774445,900.0,60.0,3.0,0.06666666666666667
8531.059545993805,900.0,33.0,4.0,0.03666666666666667
7124.5889592170715,900.0,48.0,3.0,0.05333333333333334
7712.446393728256,900.0,47.0,4.0,0.052222222222222225
7092.144539833069,900.0,36.0,3.0,0.04
7266.993126153946,900.0,40.0,3.0,0.044444444444444446
6742.376356124878,900.0,37.0,3.0,0.04111111111111111
5910.540650367737,900.0,28.0,3.0,0.03111111111111111
6385.808282375336,900.0,46.0,3.0,0.051111111111111114
5894.16243314743,900.0,57.0,3.0,0.06333333333333334
5814.900916814804,900.0,29.0,3.0,0.03222222222222222
6473.108199119568,900.0,35.0,3.0,0.03888888888888889
6589.283080101013,900.0,39.0,4.0,0.043333333333333335
5652.283560037613,900.0,39.0,3.0,0.043333333333333335
6262.974186897278,900.0,37.0,3.0,0.04111111111111111
5883.162578344345,900.0,29.0,3.0,0.03222222222222222
5960.003112792969,900.0,43.0,3.0,0.04777777777777778
6010.494402885437,900.0,33.0,3.0,0.03666666666666667
6712.4305691719055,900.0,40.0,4.0,0.044444444444444446
5888.259282827377,900.0,75.0,3.0,0.08333333333333333
5042.148535966873,900.0,51.0,3.0,0.056666666666666664
6827.372512102127,900.0,42.0,3.0,0.04666666666666667
5110.548401832581,900.0,49.0,3.0,0.05444444444444444
6469.924401044846,900.0,42.0,4.0,0.04666666666666667
